Event ID,Timestamp,Event Type,Level,Operation,Details,User,Session ID,Transaction ID,Correlation ID
EVT-20251008112648-001,2025-10-08T11:26:48.180716,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008112648""}}",SYSTEM,SESSION-20251008112648,,
EVT-20251008112648-002,2025-10-08T11:26:48.182718,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008112648,,
EVT-20251008112648-003,2025-10-08T11:26:48.184711,ERROR,ERROR,REFUND_PROCESSING_ERROR,"{""error_message"": ""'RefundProcessingRequest' object has no attribute 'p008_xml'"", ""error_details"": {""error_type"": ""AttributeError""}}",SYSTEM,SESSION-20251008112648,,REFUND-20251008112648
EVT-20251008112648-001,2025-10-08T11:26:48.210544,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008112648""}}",SYSTEM,SESSION-20251008112648,,
EVT-20251008112648-002,2025-10-08T11:26:48.212602,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008112648,,
EVT-20251008112648-003,2025-10-08T11:26:48.212602,ERROR,ERROR,REFUND_PROCESSING_ERROR,"{""error_message"": ""'RefundProcessingRequest' object has no attribute 'p008_xml'"", ""error_details"": {""error_type"": ""AttributeError""}}",SYSTEM,SESSION-20251008112648,,REFUND-20251008112648
EVT-20251008112747-001,2025-10-08T11:27:47.195246,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008112747""}}",SYSTEM,SESSION-20251008112747,,
EVT-20251008112747-002,2025-10-08T11:27:47.197239,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008112747,,
EVT-20251008112747-003,2025-10-08T11:27:47.198238,ERROR,ERROR,REFUND_PROCESSING_ERROR,"{""error_message"": ""'RefundProcessingRequest' object has no attribute 'p008_xml'"", ""error_details"": {""error_type"": ""AttributeError""}}",SYSTEM,SESSION-20251008112747,,REFUND-20251008112747
EVT-20251008112747-001,2025-10-08T11:27:47.213269,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008112747""}}",SYSTEM,SESSION-20251008112747,,
